Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,label
0,1507459505399169027,1507459505399169027,1648241327000.0,2022-03-25 13:48:47,-700,,The Supreme Court agreed to temporarily freeze a lower-court opinion requiring the Navy to deploy special operations forces even though they have refused to get vaccinated for Covid-19  https://t.co/asfzqmWnrd,en,[],[],428333,428333,cnnbrk,CNN Breaking News,5,13,https://twitter.com/cnnbrk/status/1507459505399169027,['https://cnn.it/3LxPRWH'],[],0,,False,170,23,39,,covid,,,,,,,[],,,,,1
1,1506404605336379399,1506404605336379399,1647989820000.0,2022-03-22 15:57:00,-700,,Hillary Clinton says she has tested positive for Covid-19 and has mild symptoms.  https://t.co/tw6f1N7tr6,en,[],[],428333,428333,cnnbrk,CNN Breaking News,2,15,https://twitter.com/cnnbrk/status/1506404605336379399,['https://cnn.it/3woeCAa'],[],0,,False,792,352,203,,covid,,,,,,,[],,,,,1
2,1506326393164115974,1506326393164115974,1647971172000.0,2022-03-22 10:46:12,-700,,White House press secretary Jen Psaki tests positive for Covid-19 hours before President Biden is set to depart for Europe trip  https://t.co/kfJPoPUiow,en,[],[],428333,428333,cnnbrk,CNN Breaking News,2,10,https://twitter.com/cnnbrk/status/1506326393164115974,['https://cnn.it/3tvNldh'],[],0,,False,529,206,132,,covid,,,,,,,[],,,,,1
